,year,state,count
0,2000,Andaman & Nicobar Islands,4
1,2000,Andhra Pradesh,2705
2,2000,Arunachal Pradesh,14
3,2000,Assam,310
4,2000,Bihar,3221
5,2000,Chandigarh,108
6,2000,Daman & Diu,50
7,2000,Delhi,229
8,2000,Goa,35
9,2000,Gujarat,1137
10,2000,Haryana,594
11,2000,Himachal Pradesh,137
12,2000,Jammu & Kashmir,177
13,2000,Karnataka,1455
14,2000,Kerala,872
15,2000,Madhya Pradesh,1732
16,2000,Maharashtra,4651
17,2000,Manipur,102
18,2000,Meghalaya,36
19,2000,Mizoram,6
20,2000,Nagaland,21
21,2000,Odisha,985
22,2000,Puducherry,6
23,2000,Punjab,404
24,2000,Rajasthan,939
25,2000,Sikkim,131
26,2000,Tamil Nadu,1276
27,2000,Tripura,54
28,2000,Uttar Pradesh,2743
29,2000,West Bengal,1187
30,2001,Andaman & Nicobar Islands,28
31,2001,Andhra Pradesh,3210
32,2001,Arunachal Pradesh,3
33,2001,Assam,181
34,2001,Bihar,2880
35,2001,Chandigarh,101
36,2001,Dadra Nagar & Haveli,7
37,2001,Daman & Diu,55
38,2001,Delhi,190
39,2001,Gujarat,891
40,2001,Haryana,425
41,2001,Himachal Pradesh,135
42,2001,Jammu & Kashmir,142
43,2001,Karnataka,1803
44,2001,Kerala,666
45,2001,Madhya Pradesh,1498
46,2001,Maharashtra,3885
47,2001,Manipur,7
48,2001,Meghalaya,34
49,2001,Nagaland,33
50,2001,Odisha,1022
51,2001,Puducherry,1
52,2001,Punjab,292
53,2001,Rajasthan,958
54,2001,Sikkim,80
55,2001,Tamil Nadu,1180
56,2001,Tripura,26
57,2001,Uttar Pradesh,2189
58,2001,West Bengal,1116
59,2002,Andaman & Nicobar Islands,33
60,2002,Andhra Pradesh,3309
61,2002,Arunachal Pradesh,6
62,2002,Assam,287
63,2002,Bihar,2780
64,2002,Chandigarh,117
65,2002,Daman & Diu,23
66,2002,Delhi,41
67,2002,Gujarat,1160
68,2002,Haryana,300
69,2002,Himachal Pradesh,115
70,2002,Jammu & Kashmir,157
71,2002,Jharkhand,5
72,2002,Karnataka,1918
73,2002,Kerala,756
74,2002,Madhya Pradesh,1303
75,2002,Maharashtra,3922
76,2002,Manipur,16
77,2002,Meghalaya,139
78,2002,Nagaland,25
79,2002,Odisha,933
80,2002,Puducherry,8
81,2002,Punjab,226
82,2002,Rajasthan,899
83,2002,Sikkim,60
84,2002,Tamil Nadu,1185
85,2002,Uttar Pradesh,1969
86,2002,West Bengal,1319
87,2002,nominated,2
